Input Time,Fuel Requested,Refuel Time,Start Time,Wait Time
11,35,175,11,0
91,40,190,91,0
133,60,250,133,0
135,40,190,135,0
170,10,100,170,0
127,60,250,186,59
212,40,190,281,69
297,15,115,297,0
304,15,115,304,0
149,10,100,325,176
379,25,145,379,0
382,50,220,382,0
330,20,130,383,53
348,25,145,412,64
417,25,145,425,8
285,45,205,436,151
477,50,220,477,0
429,15,115,513,84
544,10,100,544,0
541,10,100,570,29
622,15,115,628,6
490,20,130,641,151
671,20,130,671,0
645,15,115,697,52
719,35,175,719,0
729,60,250,729,0
683,35,175,743,60
715,30,160,771,56
799,60,250,799,0
782,60,250,801,19
780,55,235,812,32
842,50,220,842,0
736,15,115,894,158
841,50,220,918,77
817,10,100,931,114
918,20,130,979,61
960,25,145,1031,71
971,15,115,1047,76
876,45,205,1049,173
964,25,145,1051,87
1109,40,190,1109,0
1101,30,160,1138,37
1057,60,250,1162,105
1178,60,250,1178,0
1143,30,160,1196,53
1242,55,235,1298,56
1212,25,145,1412,200
1425,10,100,1425,0
1424,50,220,1428,4
1440,20,130,1440,0
1489,35,175,1489,0
1439,55,235,1525,86
1535,25,145,1535,0
1436,30,160,1557,121
1609,25,145,1609,0
1628,40,190,1628,0
1638,15,115,1638,0
1579,60,250,1648,69
1616,45,205,1664,48
1596,55,235,1680,84
1649,45,205,1717,68
1649,55,235,1753,104
1703,45,205,1754,51
1694,30,160,1760,66
1760,45,205,1818,58
1758,20,130,1869,111
1709,25,145,1898,189
1716,15,115,1915,199
1794,40,190,1920,126
1746,50,220,1922,176
1829,55,235,1959,130
1829,45,205,1988,159
1975,40,190,1999,24
1838,40,190,2023,185
1865,15,115,2030,165
1848,55,235,2043,195
1951,55,235,2110,159
1924,35,175,2142,218
2031,45,205,2145,114
1982,55,235,2189,207
2026,20,130,2193,167
2015,10,100,2194,179
2027,40,190,2213,186
2069,10,100,2278,209
2101,40,190,2294,193
2087,60,250,2317,230
2132,50,220,2323,191
2096,60,250,2345,249
2130,60,250,2350,220
2176,10,100,2378,202
2218,50,220,2403,185
2206,35,175,2424,218
2348,40,190,2478,130
2375,10,100,2484,109
2393,45,205,2543,150
2387,30,160,2567,180
2396,20,130,2584,188
2350,25,145,2595,245
2449,30,160,2599,150
2367,30,160,2600,233
2406,55,235,2623,217
2393,60,250,2668,275
2485,55,235,2714,229
2474,40,190,2727,253
2395,15,115,2740,345
2417,45,205,2748,331
2538,25,145,2759,221
2523,40,190,2760,237
2660,55,235,2855,195
2548,60,250,2858,310
2661,60,250,2904,243
2519,30,160,2917,398
2580,15,115,2918,338
2769,55,235,2949,180
2741,20,130,2950,209
2800,60,250,2953,153
2741,60,250,3033,292
2950,15,115,3077,127
2802,50,220,3080,278
2884,35,175,3090,206
2827,35,175,3108,281
2804,40,190,3154,350
2914,35,175,3184,270
2984,45,205,3192,208
2895,25,145,3203,308
2986,35,175,3265,279
3043,60,250,3283,240
3045,50,220,3283,238
3086,10,100,3300,214
2994,15,115,3344,350
3113,35,175,3348,235
3142,15,115,3359,217
3058,35,175,3397,339
3097,15,115,3400,303
3100,35,175,3440,340
3192,20,130,3459,267
3248,55,235,3474,226
3216,10,100,3503,287
3273,30,160,3515,242
3284,35,175,3523,239
3097,10,100,3533,436
3198,20,130,3572,374
3370,10,100,3589,219
